Audit_date;"ID";"Priority";"Status";"Status_Reason";"Assigned_Group";"Login";"Assignee";"Company";"Company_desc"
2021/09/01 16:59:16;INC30007458445;High  (1);Assigned  (1);;ALPHA_ROUTER;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/09/01 17:00:25;INC30007458445;;;;;fescalonama;Fátima Escalona Mayoral;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/09/01 17:01:07;INC30007458445;;;;BLACK_BOX;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/09/01 17:02:26;INC30007458445;;;;;bgoicoecheaca;Begoña Maribel Goicoechea Campillo;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/09/01 17:49:25;INC30007458445;;;;RED_ALPHA;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/09/01 18:14:26;INC30007458445;;;;ALPHA_ROUTER;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/09/01 18:44:04;INC30007458445;;;;CODECREEK;cmuñizpa;Custodia Elvira Múñiz Pastor;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/09/01 18:50:01;INC30007458445;;;;DATAMIND;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/09/13 17:47:52;INC30007458445;;;;CODECREEK;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/09/13 17:56:25;INC30007458445;;;;HASH_HARDDRIVE;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/10/19 12:03:56;INC30007458445;;;;CODECREEK;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/10/19 12:13:00;INC30007458445;;;;ALPHA_ROUTER;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/10/19 12:27:13;INC30007458445;;;;;criveraca;Candela Rivera Calvo;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/10/19 12:29:21;INC30007458445;;;;BLACK_BOX;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/10/19 12:30:24;INC30007458445;;;;;carroyove;Casandra Arroyo Verdejo;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/10/19 13:23:56;INC30007458445;;;;;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/10/19 13:46:07;INC30007458445;;;;;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/10/19 13:46:42;INC30007458445;;Resolved  (4);No Further Action Required  (17000);;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/10/26 18:00:00;INC30007458445;;Closed  (5);Automated Resolution Reported  (19000);;;;Corporación Mendoza-Silva;OpenSystem explícito sincronizado
2021/09/02 13:07:04;INC30007462802;Medium  (2);Assigned  (1);;RED_ALPHA;;;Ballesteros de Alfonso e Hijo;Iniciativa Horizontal Activil
2021/09/02 13:14:15;INC30007462802;;;;ALPHA_ROUTER;criveraca;Candela Rivera Calvo;Ballesteros de Alfonso e Hijo;Iniciativa Horizontal Activil
2021/09/02 13:14:42;INC30007462802;;;;RED_ALPHA;;;Ballesteros de Alfonso e Hijo;Iniciativa Horizontal Activil
2021/09/02 13:15:09;INC30007462802;;;;;cmuñizpa;Custodia Elvira Múñiz Pastor;Ballesteros de Alfonso e Hijo;Iniciativa Horizontal Activil
2021/09/02 13:21:43;INC30007462802;;;;;dgoñigo;David Goñi Goicoechea;Ballesteros de Alfonso e Hijo;Iniciativa Horizontal Activil
2021/09/02 13:43:31;INC30007462802;;;;;czamoranoca;Cayetana Zamorano Cano;Ballesteros de Alfonso e Hijo;Iniciativa Horizontal Activil
2021/09/02 15:24:20;INC30007462802;Low  (3);;;;;;Ballesteros de Alfonso e Hijo;Iniciativa Horizontal Activil
2021/09/02 16:08:35;INC30007462802;;;;BLACK_BOX;;;Ballesteros de Alfonso e Hijo;Iniciativa Horizontal Activil
